,location,size,total_sqft,bath,price
178,7th Phase JP Nagar,3,1800.0,3.0,130.0
179,7th Phase JP Nagar,2,1050.0,2.0,68.0
180,7th Phase JP Nagar,2,1000.0,2.0,60.0
181,7th Phase JP Nagar,3,1680.0,3.0,125.0
182,7th Phase JP Nagar,2,1050.0,2.0,77.47
183,7th Phase JP Nagar,2,1270.0,2.0,80.0
185,7th Phase JP Nagar,3,1680.0,3.0,122.0
186,7th Phase JP Nagar,2,1130.0,2.0,85.0
187,7th Phase JP Nagar,3,1680.0,3.0,130.0
188,7th Phase JP Nagar,2,980.0,2.0,77.44
189,7th Phase JP Nagar,3,1680.0,3.0,112.0
191,7th Phase JP Nagar,3,2095.0,3.0,150.0
192,7th Phase JP Nagar,3,1976.0,3.0,145.0
193,7th Phase JP Nagar,3,1600.0,2.0,110.0
194,7th Phase JP Nagar,3,1765.0,3.0,118.0
195,7th Phase JP Nagar,3,1275.0,2.0,88.0
196,7th Phase JP Nagar,3,1450.0,2.0,102.0
197,7th Phase JP Nagar,3,1575.0,2.0,110.0
199,7th Phase JP Nagar,1,750.0,1.0,47.0
200,7th Phase JP Nagar,2,990.0,2.0,50.0
201,7th Phase JP Nagar,1,1000.0,1.0,60.0
203,7th Phase JP Nagar,3,1430.0,2.0,102.0
204,7th Phase JP Nagar,2,1128.0,2.0,60.0
205,7th Phase JP Nagar,2,1140.0,2.0,57.0
206,7th Phase JP Nagar,3,1420.0,3.0,90.0
207,7th Phase JP Nagar,2,1530.0,2.0,108.0
208,8th Phase JP Nagar,2,1073.5,2.0,54.005
209,8th Phase JP Nagar,1,451.0,1.0,29.9
211,8th Phase JP Nagar,2,1062.0,2.0,42.47
213,8th Phase JP Nagar,3,1455.0,3.0,73.31
214,8th Phase JP Nagar,2,871.0,2.0,55.0
215,8th Phase JP Nagar,2,1098.0,2.0,43.91
216,8th Phase JP Nagar,3,1800.0,3.0,80.0
218,8th Phase JP Nagar,2,1080.0,2.0,38.0
219,8th Phase JP Nagar,2,1059.0,2.0,34.5
220,8th Phase JP Nagar,2,1080.0,2.0,35.0
222,8th Phase JP Nagar,2,1062.0,2.0,42.47
223,8th Phase JP Nagar,1,500.0,1.0,31.0
224,8th Phase JP Nagar,2,1100.0,2.0,35.0
226,8th Phase JP Nagar,2,1035.0,2.0,39.33
227,8th Phase JP Nagar,2,909.0,2.0,40.9
228,8th Phase JP Nagar,3,1431.5,3.0,72.02
229,8th Phase JP Nagar,3,1900.0,4.0,90.0
230,8th Phase JP Nagar,1,500.0,1.0,30.0
231,8th Phase JP Nagar,2,1125.0,2.0,36.94
232,8th Phase JP Nagar,4,1200.0,3.0,110.0
233,8th Phase JP Nagar,2,1100.0,2.0,35.0
234,8th Phase JP Nagar,2,1089.0,2.0,43.55
236,8th Phase JP Nagar,3,1504.0,2.0,83.0
239,8th Phase JP Nagar,2,1089.0,2.0,43.55
241,8th Phase JP Nagar,2,1513.0,2.0,62.0
242,8th Phase JP Nagar,2,1298.0,2.0,59.0
243,8th Phase JP Nagar,2,1006.0,2.0,44.0
244,8th Phase JP Nagar,1,500.0,1.0,33.0
245,8th Phase JP Nagar,2,1160.0,2.0,95.0
246,8th Phase JP Nagar,2,1245.0,2.0,59.0
247,8th Phase JP Nagar,2,1510.0,2.0,80.0
248,8th Phase JP Nagar,3,3300.0,3.0,165.0
249,8th Phase JP Nagar,5,1730.0,5.0,75.0
252,8th Phase JP Nagar,2,1046.0,2.0,48.0
254,8th Phase JP Nagar,3,1408.0,3.0,80.0
256,9th Phase JP Nagar,2,1005.0,2.0,50.0
258,9th Phase JP Nagar,2,1100.0,2.0,65.0
259,9th Phase JP Nagar,2,1080.0,2.0,37.0
260,9th Phase JP Nagar,2,1035.0,2.0,45.0
261,9th Phase JP Nagar,4,5000.0,4.0,290.0
262,9th Phase JP Nagar,2,1164.0,2.0,56.0
263,9th Phase JP Nagar,2,1005.0,2.0,42.0
264,9th Phase JP Nagar,4,3500.0,4.0,300.0
265,9th Phase JP Nagar,2,1127.0,2.0,50.0
266,9th Phase JP Nagar,2,1005.0,2.0,43.0
267,9th Phase JP Nagar,2,835.0,2.0,37.0
268,9th Phase JP Nagar,2,1050.0,2.0,39.0
269,9th Phase JP Nagar,2,660.0,2.0,27.0
270,9th Phase JP Nagar,1,600.0,1.0,20.0
271,9th Phase JP Nagar,2,1466.0,2.0,71.0
272,9th Phase JP Nagar,3,1890.0,2.0,93.0
273,9th Phase JP Nagar,2,1079.0,2.0,60.0
274,9th Phase JP Nagar,2,1480.0,2.0,80.0
275,9th Phase JP Nagar,2,1200.0,2.0,80.0
276,9th Phase JP Nagar,2,905.0,2.0,32.0
277,9th Phase JP Nagar,2,1073.0,2.0,52.36
278,9th Phase JP Nagar,3,1719.3,2.0,88.0
279,9th Phase JP Nagar,3,1780.0,3.0,88.0
281,9th Phase JP Nagar,3,1522.0,3.0,90.0
284,9th Phase JP Nagar,2,890.0,2.0,45.0
286,9th Phase JP Nagar,4,5000.0,4.0,300.0
288,9th Phase JP Nagar,2,1050.0,2.0,35.0
289,9th Phase JP Nagar,2,1331.95,2.0,69.0
290,AECS Layout,2,1100.0,2.0,45.0
291,AECS Layout,2,1028.0,2.0,42.0
292,AECS Layout,2,1199.0,2.0,65.0
293,AECS Layout,2,1080.0,2.0,55.0
294,AECS Layout,2,1123.0,2.0,64.0
295,AECS Layout,2,1308.0,2.0,60.0
296,AECS Layout,2,1005.0,2.0,55.0
298,Abbigere,2,985.0,2.0,40.39
299,Abbigere,6,2200.0,6.0,68.0
300,Abbigere,1,765.0,2.0,30.0
301,Abbigere,2,880.0,2.0,35.0
302,Abbigere,2,795.0,2.0,32.54
303,Abbigere,2,1005.0,2.0,39.59
304,Abbigere,1,734.0,1.0,19.82
306,Abbigere,2,1020.0,2.0,41.82
307,Abbigere,2,985.0,2.0,40.39
308,Abbigere,6,2500.0,6.0,81.0
309,Abbigere,2,795.0,2.0,32.54
310,Abbigere,2,1130.0,2.0,46.33
311,Abbigere,2,795.0,1.0,32.6
312,Abbigere,8,3000.0,8.0,150.0
313,Abbigere,2,985.0,2.0,38.92
314,Abbigere,2,1000.0,2.0,41.0
315,Abbigere,2,995.0,2.0,40.8
316,Abbigere,2,1020.0,2.0,40.8
317,Akshaya Nagar,2,1388.0,2.0,57.0
318,Akshaya Nagar,2,1070.0,2.0,54.0
319,Akshaya Nagar,2,1280.0,2.0,58.0
320,Akshaya Nagar,3,1662.0,3.0,85.1
321,Akshaya Nagar,3,1897.0,3.0,120.0
322,Akshaya Nagar,3,1410.0,2.0,75.0
323,Akshaya Nagar,3,1360.0,2.0,85.0
325,Akshaya Nagar,3,1410.0,2.0,80.0
326,Akshaya Nagar,3,1662.0,3.0,85.0
327,Akshaya Nagar,4,1080.0,4.0,75.0
328,Akshaya Nagar,3,1662.0,3.0,85.5
329,Akshaya Nagar,2,1280.0,2.0,60.0
330,Akshaya Nagar,3,1666.0,3.0,95.0
331,Akshaya Nagar,3,1575.0,3.0,90.0
332,Akshaya Nagar,3,1430.0,2.0,75.0
333,Akshaya Nagar,3,1419.0,2.0,73.0
334,Akshaya Nagar,2,1280.0,2.0,60.0
335,Akshaya Nagar,2,1200.0,2.0,50.0
336,Akshaya Nagar,2,1092.0,2.0,60.0
337,Akshaya Nagar,3,1690.0,3.0,85.0
339,Akshaya Nagar,3,1897.0,4.0,93.0
340,Akshaya Nagar,3,1884.0,3.0,98.0
341,Akshaya Nagar,2,1314.0,2.0,68.8
342,Akshaya Nagar,3,1690.0,3.0,85.0
343,Akshaya Nagar,2,1265.0,2.0,67.0
344,Akshaya Nagar,2,1126.0,2.0,55.0
346,Akshaya Nagar,3,1662.0,3.0,90.0
347,Akshaya Nagar,3,1420.0,2.0,75.0
348,Akshaya Nagar,3,1412.0,2.0,88.0
349,Akshaya Nagar,3,1434.0,3.0,84.0
350,Akshaya Nagar,3,1890.0,4.0,100.0
352,Akshaya Nagar,3,1419.0,2.0,87.0
353,Akshaya Nagar,2,1300.0,2.0,54.0
354,Akshaya Nagar,3,1690.0,3.0,85.0
355,Akshaya Nagar,2,1113.0,2.0,52.0
356,Akshaya Nagar,3,1820.0,4.0,95.0
357,Akshaya Nagar,2,1100.0,2.0,48.0
358,Akshaya Nagar,3,1896.0,3.0,102.0
359,Akshaya Nagar,2,1300.0,2.0,66.0
360,Akshaya Nagar,2,1225.0,2.0,68.0
361,Akshaya Nagar,2,1179.0,2.0,51.0
362,Akshaya Nagar,3,1421.0,2.0,73.0
363,Akshaya Nagar,3,1893.0,4.0,95.0
364,Akshaya Nagar,2,900.0,2.0,45.0
365,Ambalipura,2,1105.0,2.0,75.0
366,Ambalipura,3,1800.0,3.0,110.0
367,Ambalipura,2,1150.0,2.0,80.0
368,Ambalipura,2,1250.0,2.0,66.25
369,Ambalipura,2,1332.0,2.0,79.0
370,Ambalipura,3,1730.0,3.0,120.0
372,Ambalipura,2,1230.0,2.0,66.25
373,Ambalipura,2,1351.0,2.0,77.0
377,Ambalipura,2,1303.0,2.0,80.0
378,Ambalipura,3,1607.0,2.0,112.0
379,Ambalipura,1,770.0,1.0,43.82
380,Ambalipura,2,1700.0,2.0,76.0
381,Ambalipura,2,1060.0,2.0,58.5
382,Ambalipura,3,1650.0,3.0,100.0
383,Ambalipura,3,1607.0,2.0,112.0
384,Ambalipura,2,1198.0,2.0,80.0
385,Ambedkar Nagar,3,1935.0,4.0,130.0
386,Ambedkar Nagar,2,1424.0,2.0,90.0
387,Ambedkar Nagar,3,2225.0,4.0,169.0
388,Ambedkar Nagar,3,1862.0,3.0,120.0
389,Ambedkar Nagar,3,1850.0,4.0,139.0
390,Ambedkar Nagar,3,1936.0,4.0,126.0
391,Ambedkar Nagar,3,1862.0,3.0,119.0
392,Ambedkar Nagar,2,1424.0,2.0,90.0
393,Ambedkar Nagar,3,2150.0,4.0,125.0
394,Ambedkar Nagar,4,3530.0,4.0,290.0
395,Ambedkar Nagar,3,1856.0,3.0,120.0
396,Ambedkar Nagar,3,1852.0,3.0,130.0
397,Ambedkar Nagar,3,1850.0,4.0,120.0
398,Ambedkar Nagar,2,1367.0,2.0,86.0
399,Ambedkar Nagar,4,3565.0,4.0,255.0
400,Ambedkar Nagar,2,1409.0,2.0,95.0
401,Ambedkar Nagar,3,1950.0,4.0,120.0
402,Ambedkar Nagar,3,1921.0,4.0,129.0
403,Ambedkar Nagar,3,1920.0,4.0,121.0
404,Ambedkar Nagar,3,1935.0,4.0,125.0
405,Ambedkar Nagar,3,1852.0,4.0,122.0
406,Ambedkar Nagar,3,1950.0,4.0,120.0
407,Ambedkar Nagar,3,1852.0,3.0,125.0
408,Ambedkar Nagar,3,1850.0,4.0,121.0
409,Ambedkar Nagar,2,1425.0,2.0,94.0
410,Ambedkar Nagar,3,2395.0,4.0,150.0
411,Amruthahalli,2,900.0,2.0,40.0
412,Amruthahalli,2,1200.0,2.0,55.0
413,Amruthahalli,3,1900.0,3.0,135.0
414,Amruthahalli,2,924.0,2.0,45.0
415,Amruthahalli,2,900.0,2.0,60.0
416,Amruthahalli,2,1100.0,2.0,45.0
417,Amruthahalli,2,1200.0,2.0,55.0
421,Amruthahalli,3,1450.0,2.0,85.0
422,Amruthahalli,2,1200.0,2.0,55.0
423,Amruthahalli,2,1250.0,2.0,79.0
424,Amruthahalli,2,1190.0,2.0,50.0
425,Amruthahalli,2,1202.0,2.0,65.0
426,Amruthahalli,2,1340.0,2.0,75.0
427,Amruthahalli,3,2650.0,4.0,175.0
428,Amruthahalli,3,1450.0,2.0,90.0
429,Amruthahalli,2,1025.0,2.0,42.0
430,Amruthahalli,1,485.0,1.0,19.5
431,Anandapura,2,1167.0,2.0,43.76
432,Anandapura,2,1000.0,2.0,55.0
433,Anandapura,2,1141.0,2.0,42.79
435,Anandapura,2,1200.0,2.0,67.0
436,Anandapura,2,1200.0,2.0,58.0
437,Anandapura,2,1151.0,2.0,43.1
438,Anandapura,2,1141.0,2.0,42.75
439,Anandapura,2,900.0,2.0,48.0
440,Anandapura,4,1749.0,4.0,90.0
441,Anandapura,2,1151.0,2.0,42.9
443,Anandapura,2,1250.0,2.0,45.0
444,Anandapura,2,875.0,2.0,57.0
445,Anandapura,2,1151.0,2.0,43.16
446,Anandapura,2,1200.0,2.0,58.0
447,Anandapura,3,1200.0,2.0,66.0
448,Anandapura,3,1415.0,2.0,74.0
449,Anandapura,2,1200.0,2.0,50.0
450,Anandapura,2,1141.0,2.0,50.0
452,Ananth Nagar,1,500.0,1.0,14.0
453,Ananth Nagar,2,1100.0,2.0,31.5
454,Ananth Nagar,2,982.0,2.0,24.55
455,Ananth Nagar,1,500.0,2.0,14.0
456,Ananth Nagar,2,900.0,2.0,22.5
457,Ananth Nagar,2,908.0,2.0,26.0
458,Ananth Nagar,2,870.0,2.0,36.0
459,Ananth Nagar,2,937.0,2.0,35.0
460,Ananth Nagar,2,960.0,2.0,37.0
461,Ananth Nagar,1,500.0,1.0,14.0
462,Ananth Nagar,2,1000.0,2.0,29.7
463,Ananth Nagar,2,850.0,2.0,25.99
464,Ananth Nagar,2,902.0,2.0,25.26
465,Ananth Nagar,3,1470.0,3.0,54.0
466,Ananth Nagar,2,810.0,2.0,25.5
467,Ananth Nagar,2,890.0,2.0,27.0
468,Ananth Nagar,2,1200.0,2.0,36.0
470,Ananth Nagar,3,1319.0,3.0,42.0
471,Ananth Nagar,2,1000.0,2.0,25.0
472,Ananth Nagar,2,902.0,2.0,25.0
473,Ananth Nagar,2,930.0,2.0,25.99
474,Ananth Nagar,2,1074.0,2.0,26.85
475,Ananth Nagar,1,500.0,1.0,14.0
476,Ananth Nagar,2,1010.0,2.0,38.0
477,Ananth Nagar,2,992.0,2.0,24.8
479,Anekal,2,656.0,2.0,22.0
480,Anekal,2,620.0,2.0,22.0
481,Anekal,1,600.0,1.0,16.5
482,Anekal,2,925.0,2.0,40.0
483,Anekal,1,530.0,1.0,18.0
486,Anekal,1,351.0,1.0,16.0
487,Anekal,2,1035.0,2.0,38.3
488,Anekal,2,888.0,2.0,34.0
492,Anekal,4,1200.0,2.0,36.0
493,Anekal,2,766.0,2.0,28.0
494,Anekal,3,967.0,2.0,45.0
495,Anekal,2,620.0,1.0,23.5
499,Anekal,1,400.0,1.0,11.5
500,Anekal,1,456.0,1.0,15.0
503,Anekal,3,2400.0,4.0,95.0
507,Anekal,1,420.0,1.0,12.5
508,Anekal,2,614.0,1.0,28.0
509,Anekal,2,1140.0,2.0,52.0
510,Anekal,2,625.0,1.0,25.0
511,Anjanapura,4,1850.0,4.0,86.0
512,Anjanapura,2,1070.0,2.0,39.0
513,Anjanapura,3,1500.0,3.0,121.0
514,Anjanapura,2,1070.0,2.0,37.0
515,Anjanapura,2,950.0,2.0,40.0
516,Anjanapura,3,1280.0,2.0,45.0
517,Anjanapura,2,710.0,2.0,25.0
519,Anjanapura,2,950.0,2.0,32.0
520,Anjanapura,4,1800.0,4.0,55.0
521,Anjanapura,3,1843.0,3.0,87.54
522,Anjanapura,2,1076.0,2.0,30.13
523,Anjanapura,2,950.0,2.0,30.0
524,Ardendale,3,1750.0,3.0,100.0
525,Ardendale,4,3198.0,4.0,200.0
526,Ardendale,4,2422.0,4.0,160.0
527,Ardendale,3,1750.0,3.0,100.0
528,Ardendale,4,3200.0,4.0,205.0
529,Ardendale,3,1728.0,3.0,95.0
530,Ardendale,4,2062.0,3.0,140.0
531,Ardendale,3,1732.46,3.0,92.0
532,Ardendale,4,2062.0,3.0,150.0
534,Ardendale,2,1224.0,2.0,70.0
535,Ardendale,3,1777.26,3.0,105.0
536,Ardendale,3,1650.0,3.0,82.0
537,Ardendale,4,2062.0,3.0,140.0
538,Ardendale,3,1650.0,3.0,82.0
539,Ardendale,2,1224.0,2.0,67.0
540,Ardendale,3,1723.0,3.0,95.0
541,Ardendale,3,1777.26,3.0,89.0
542,Ardendale,3,1777.26,3.0,92.0
543,Arekere,3,2060.0,3.0,140.0
544,Arekere,2,920.0,2.0,40.0
545,Arekere,3,1740.0,2.0,95.0
546,Arekere,2,1190.0,2.0,55.0
547,Arekere,1,600.0,1.0,28.0
548,Arekere,3,2072.0,3.0,108.0
549,Arekere,2,1100.0,2.0,55.0
550,Arekere,2,900.0,2.0,50.0
551,Arekere,4,2710.0,6.0,142.0
552,Arekere,2,1240.0,2.0,60.0
553,Arekere,2,900.0,2.0,44.5
554,Attibele,1,450.0,1.0,11.0
555,Attibele,4,1600.0,4.0,52.8
556,Attibele,2,656.0,2.0,25.0
557,Attibele,1,400.0,1.0,11.0
558,Attibele,1,400.0,1.0,12.0
559,Attibele,1,400.0,1.0,14.0
560,Attibele,1,500.0,1.0,17.0
561,Attibele,4,2168.0,4.0,95.0
562,Attibele,1,395.0,1.0,10.25
563,Attibele,1,420.0,1.0,17.0
565,Attibele,1,418.0,1.0,12.0
566,Attibele,2,1200.0,2.0,42.0
567,Attibele,1,400.0,1.0,10.0
568,Attibele,2,695.0,1.0,25.0
569,Attibele,2,850.0,1.0,25.0
570,Attibele,3,2400.0,3.0,120.0
571,Attibele,1,450.0,1.0,12.5
575,Attibele,1,782.0,1.0,19.55
577,Attibele,2,656.0,2.0,25.0
578,Attibele,1,400.0,1.0,11.5
579,Attibele,1,460.0,1.0,13.0
580,Attibele,1,418.0,2.0,11.5
581,Attibele,2,1000.0,2.0,42.0
582,Attibele,1,550.0,1.0,11.5
584,Attibele,1,410.0,1.0,10.0
585,Attibele,3,1700.0,3.0,65.0
586,Attibele,1,400.0,1.0,10.25
587,Attibele,2,656.0,2.0,25.0
588,Attibele,3,1500.0,3.0,90.0
589,Attibele,1,520.0,1.0,15.0
590,BEML Layout,2,1060.0,2.0,55.0
592,BEML Layout,2,999.0,2.0,45.0
593,BEML Layout,4,1196.0,3.0,150.0
594,BEML Layout,5,2400.0,4.0,225.0
596,BEML Layout,2,1194.0,2.0,65.0
597,BEML Layout,2,1200.0,2.0,67.0
598,BEML Layout,2,2400.0,2.0,228.0
601,BEML Layout,2,1194.0,2.0,65.0
602,BTM 2nd Stage,3,1260.0,5.0,185.0
603,BTM 2nd Stage,2,950.0,2.0,52.0
604,BTM 2nd Stage,3,1850.0,3.0,170.0
605,BTM 2nd Stage,2,1200.0,2.0,80.0
606,BTM 2nd Stage,2,1274.0,2.0,70.0
608,BTM 2nd Stage,2,1070.0,2.0,48.0
609,BTM 2nd Stage,2,1280.0,2.0,80.0
610,BTM 2nd Stage,2,1100.0,2.0,70.0
611,BTM 2nd Stage,2,1000.0,2.0,58.0
612,BTM 2nd Stage,5,2990.0,5.0,416.0
613,BTM 2nd Stage,2,1265.0,2.0,55.0
614,BTM 2nd Stage,3,2200.0,3.0,220.0
615,BTM 2nd Stage,3,2780.0,4.0,325.0
